ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
TSEM,SHORT,0.3791711610799121,3.791711610799121,0,2.275,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,19.45792217360575,4.0,1.0,0.1027858978032586,0.0,0.0,4590.579593239187,44661.57022849542,1.731778,1.668997,0.0,0.0,0.457091,0.473272
GDX,SHORT,0.3780086003533428,3.7800860035334285,0,2.2681,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4.7467974658205785,11.0,1.0,1.9192245868485267,0.0,0.0,126801.82136157171,115621.27168614896,6.488787,0.420135,2.0,0.0,0.671924,0.524098
EEM,SHORT,0.3768107863783404,3.7681078637834045,0,2.2609,error: No OHLCV data returned for ticker=EEM,none,none,,,unknown,,,,,,,,,,,,,,,30.010341334538445,7.0,1.0,0.07604392200284942,0.0,0.0,9855.036026561873,172795.5067194386,0.01028,0.018558,0.0,0.0,0.17114,0.465255
VRT,SHORT,0.37433288095238093,3.7433288095238093,0,2.246,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1872.17597581468,10.0,1.0,99.0,0.0,0.0,53177.92338563104,93.56167016439811,369.001191,5.027447,0.0,0.0,0.093745,0.347327
YPF,SHORT,0.37030559523809525,3.7030559523809528,0,2.2218,error: No OHLCV data returned for ticker=YPF,none,none,,,unknown,,,,,,,,,,,,,,,87.86818543330281,4.0,0.7,99.0,0.0,0.0,43980.736775664474,120.49121407626676,27.272727,3.19022,0.0,0.0,0.0,0.590945
BABA,SHORT,0.36612484397400646,3.6612484397400644,0,2.1967,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,9.187868374210428,13.0,1.0,1.2857032142179339,0.0,0.0,23042.74063109237,15361.9593717438,0.27542,0.776672,1.0,1.0,0.241201,0.539396
QBTS,SHORT,0.3623328333333333,3.6233283333333333,0,2.174,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,250.03930768518111,5.0,1.0,99.0,0.0,0.0,41748.742291417315,178.7573784514338,3.367118,4.073161,0.0,0.0,0.485679,0.365993
SQQQ,SHORT,0.36226533333333333,3.622653333333333,0,2.1736,error: No OHLCV data returned for ticker=SQQQ,none,none,,,unknown,,,,,,,,,,,,,,,8.523648510223317,2.0,1.0,0.0,0.0,0.0,0.0,2321.7583766569737,,26.505747,0.0,1.0,0.0,0.190048
NUGT,SHORT,0.3566666666666667,3.566666666666667,0,2.14,error: No OHLCV data returned for ticker=NUGT,none,none,,,unknown,,,,,,,,,,,,,,,384.7021991371326,3.0,1.0,0.0,0.0,0.0,0.0,531.8864257847325,,10.753754,0.0,0.0,0.0,0.039391
TERN,SHORT,0.3491025196168965,3.4910251961689647,0,2.0946,error: No OHLCV data returned for ticker=TERN,none,none,,,unknown,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,195634.30166359883,,1714.285714,0.0,0.0,0.0,0.0
GSAT,SHORT,0.34048074944481377,3.4048074944481375,0,2.0429,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1.3885381899239813,3.0,1.0,2.5915151921898825,0.0,0.0,46695.41923652732,36037.15646912241,9.146341,12.979381,0.0,0.0,0.499442,0.0
ORCL,SHORT,0.33860294743093644,3.3860294743093644,0,2.0316,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,14.354702105403412,7.0,1.0,4.142303787985314,0.0,0.0,249037.06988510338,45090.319777022036,0.309719,0.308467,0.0,1.0,0.007007,0.333502
