snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-22,APH,207411.98,1381,1,0,0,1381,0.0,207411.98,0.0,—
2026-04-22,COIN,197790.0,1000,1,0,0,0,0.0,197790.0,0.0,—
2026-04-22,SMH,191300.0,400,1,0,0,0,0.0,191300.0,0.0,—
2026-04-22,THC,188450.0,1000,1,0,0,1000,0.0,188450.0,16431658850.0,Healthcare
2026-04-22,AVGO,187198.15,445,1,0,0,0,0.0,187198.15,0.0,—
2026-04-22,V,185142.0,600,1,0,0,0,0.0,185142.0,0.0,—
2026-04-22,MCD,182052.0,600,1,0,0,0,0.0,182052.0,0.0,—
2026-04-22,PYLD,172450.96,6499,1,0,0,0,0.0,172450.96,0.0,—
2026-04-22,DFAI,169961.85,4194,1,0,0,0,0.0,169961.85,0.0,—
2026-04-22,SCHW,158795.28,1800,1,0,0,1800,0.0,158795.28,0.0,—
2026-04-22,AOA,154918.8,1656,1,0,0,0,0.0,154918.8,0.0,—
2026-04-22,SQQQ,153807.5,2750,1,0,2750,0,1.0,153807.5,0.0,—
2026-04-22,BRCB,152816.1,11860,1,0,0,0,0.0,152816.1,0.0,—
2026-04-22,VONG,152423.7,1254,1,0,1254,0,1.0,152423.7,0.0,—
2026-04-22,IQLT,148736.65,3062,1,0,0,0,0.0,148736.65,0.0,—
2026-04-22,IMAX,146324.9,4010,1,0,4010,0,1.0,146324.9,0.0,—
2026-04-22,KOLD,139418.25,5275,1,0,0,0,0.0,139418.25,0.0,—
2026-04-22,RWM,139270.0,9500,1,0,9500,0,1.0,139270.0,0.0,—
2026-04-22,FSLR,137270.0,700,1,0,700,0,1.0,137270.0,0.0,—
2026-04-22,NKE,134440.2,3000,1,0,0,0,0.0,134440.2,0.0,—
2026-04-22,BMNR,127687.0,5800,1,0,0,0,0.0,127687.0,0.0,—
2026-04-22,ON,125827.0,1300,1,0,1300,0,1.0,125827.0,38184529562.0,Technology
2026-04-22,NVDU,124095.0,1000,1,0,0,0,0.0,124095.0,0.0,—
2026-04-22,CAIE,123153.63,4597,1,0,0,0,0.0,123153.63,0.0,—
2026-04-22,VICR,119038.8,460,1,0,0,0,0.0,119038.8,0.0,—
2026-04-22,HUT,117907.5,1500,1,0,0,0,0.0,117907.5,0.0,—
2026-04-22,IEF,115665.62,1213,1,0,0,0,0.0,115665.62,0.0,—
2026-04-22,EEM,112059.0,1800,1,0,0,1800,0.0,112059.0,0.0,—
2026-04-22,PDD,109350.08,1120,1,0,0,0,0.0,109350.08,0.0,—
2026-04-22,MAS,108548.4,1445,1,0,0,0,0.0,108548.4,0.0,—
2026-04-22,TRV,107409.75,350,1,0,0,0,0.0,107409.75,0.0,—
2026-04-22,CRWV,106317.0,900,1,0,900,0,1.0,106317.0,0.0,—
2026-04-22,NUE,105995.0,500,1,0,0,0,0.0,105995.0,0.0,—
2026-04-22,UNH,105906.0,300,1,0,0,0,0.0,105906.0,0.0,—
2026-04-22,ACN,103414.33,577,1,0,0,0,0.0,103414.33,0.0,—
2026-04-22,WULF,103033.0,5026,1,0,5026,0,1.0,103033.0,0.0,—
2026-04-22,SLB,102251.73,1862,1,0,0,0,0.0,102251.73,0.0,—
2026-04-22,SOXS,101808.63,6300,1,0,0,0,0.0,101808.63,0.0,—
2026-04-22,GOOGL,101742.0,300,1,0,300,0,1.0,101742.0,0.0,—
2026-04-22,MMM,101311.0,700,1,0,0,0,0.0,101311.0,0.0,—
2026-04-23,PNFP,6367269.66,66666,1,1,0,0,0.0,6367269.66,0.0,—
